=================================================================
  HSW-SF Pretest Training Loop
  Device : mps
  Nodes  : 20  |  Episodes : 30  |  Steps/ep : 100
=================================================================
[Data] Loading EuroSAT dataset (this may take a moment if downloading...)
  Ep   5 | Step    0 | G-Step    400 |  R=-0.675  V_top=0.0950  η=69315.265  L_cut=11  SplitFed  T_loss=2.292  S_loss=1.711  CritL=nan  ActL=nan
  Ep   5 | Step   10 | G-Step    410 |  R=+0.000  V_top=0.5994  η=0.519  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=2.675  CritL=nan  ActL=nan
  Ep   5 | Step   20 | G-Step    420 |  R=-0.610  V_top=0.8701  η=0.504  L_cut= 3  FALLBACK  T_loss=0.000  S_loss=1.362  CritL=nan  ActL=nan
  Ep   5 | Step   30 | G-Step    430 |  R=-0.651  V_top=1.0114  η=0.581  L_cut= 5  FALLBACK  T_loss=0.000  S_loss=1.787  CritL=nan  ActL=nan
  Ep   5 | Step   40 | G-Step    440 |  R=-0.814  V_top=1.0732  η=0.504  L_cut= 2  FALLBACK  T_loss=0.000  S_loss=1.181  CritL=nan  ActL=nan
  Ep   5 | Step   50 | G-Step    450 |  R=+0.000  V_top=1.1159  η=0.580  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=1.905  CritL=nan  ActL=nan
  Ep   5 | Step   60 | G-Step    460 |  R=-1.167  V_top=1.1873  η=0.558  L_cut= 6  FALLBACK  T_loss=0.000  S_loss=1.362  CritL=nan  ActL=nan
  Ep   5 | Step   70 | G-Step    470 |  R=-0.496  V_top=1.2032  η=0.558  L_cut=10  FALLBACK  T_loss=0.000  S_loss=1.795  CritL=nan  ActL=nan
  Ep   5 | Step   80 | G-Step    480 |  R=+0.000  V_top=1.2123  η=0.509  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=1.307  CritL=nan  ActL=nan
  Ep   5 | Step   90 | G-Step    490 |  R=+0.000  V_top=1.2123  η=0.544  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=1.271  CritL=nan  ActL=nan

>>> Episode   5 done  |  Return=-207994.72  Avg10=-242653.01  Time=1.4s  Buffer=6806  Alive_nodes=17/20

[Agent] Checkpoint saved → sac_clf_ep005.pt
  Ep   6 | Step    0 | G-Step    500 |  R=-0.619  V_top=0.0950  η=69315.265  L_cut=10  SplitFed  T_loss=2.405  S_loss=0.966  CritL=nan  ActL=nan
  Ep   6 | Step   10 | G-Step    510 |  R=+0.000  V_top=0.5199  η=0.531  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=1.949  CritL=nan  ActL=nan
  Ep   6 | Step   20 | G-Step    520 |  R=+0.000  V_top=1.0891  η=0.518  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=1.767  CritL=212672538.6667  ActL=-2.5814
  Ep   6 | Step   30 | G-Step    530 |  R=-0.855  V_top=1.1426  η=0.514  L_cut=13  FALLBACK  T_loss=0.000  S_loss=1.067  CritL=209371757.0526  ActL=-2.1350
  Ep   6 | Step   40 | G-Step    540 |  R=+0.000  V_top=1.2484  η=0.611  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=1.403  CritL=221929584.2759  ActL=-1.6259
  Ep   6 | Step   50 | G-Step    550 |  R=-0.685  V_top=1.2538  η=0.680  L_cut= 6  FALLBACK  T_loss=0.000  S_loss=1.931  CritL=232373336.8205  ActL=-1.0155
  Ep   6 | Step   60 | G-Step    560 |  R=+0.000  V_top=1.2570  η=0.678  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=2.122  CritL=223618721.0612  ActL=-0.4100
  Ep   6 | Step   70 | G-Step    570 |  R=+0.000  V_top=1.3401  η=0.634  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=2.067  CritL=228320685.8983  ActL=0.2581
  Ep   6 | Step   80 | G-Step    580 |  R=-34658.170  V_top=1.3343  η=0.622  L_cut= 5  FALLBACK  T_loss=0.000  S_loss=1.988  CritL=227580713.5652  ActL=0.9646
  Ep   6 | Step   90 | G-Step    590 |  R=-0.592  V_top=1.3286  η=0.507  L_cut=13  FALLBACK  T_loss=0.000  S_loss=2.011  CritL=227501945.9747  ActL=1.7043

>>> Episode   6 done  |  Return=-311964.50  Avg10=-254204.92  Time=15.4s  Buffer=8186  Alive_nodes=12/20

  Ep   7 | Step    0 | G-Step    600 |  R=-0.626  V_top=0.0950  η=0.501  L_cut= 9  SplitFed  T_loss=2.035  S_loss=2.962  CritL=281314048.0000  ActL=10.6986
  Ep   7 | Step   10 | G-Step    610 |  R=-0.537  V_top=0.5732  η=0.526  L_cut= 4  FALLBACK  T_loss=0.000  S_loss=1.705  CritL=238670954.1818  ActL=11.1453
  Ep   7 | Step   20 | G-Step    620 |  R=+0.000  V_top=0.9454  η=0.526  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=1.232  CritL=226807594.6667  ActL=12.4324
  Ep   7 | Step   30 | G-Step    630 |  R=-1.258  V_top=1.0317  η=0.549  L_cut= 6  FALLBACK  T_loss=0.000  S_loss=1.431  CritL=209886609.5484  ActL=13.6818
  Ep   7 | Step   40 | G-Step    640 |  R=+0.000  V_top=1.1513  η=0.505  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=1.655  CritL=207159126.8293  ActL=14.8590
